idx,name,ms,sm_clock_mhz
633,000633.npy,16.213,
634,000634.npy,16.132,
635,000635.npy,16.304,
636,000636.npy,16.246,
637,000637.npy,17.340,
638,000638.npy,16.714,
639,000639.npy,16.159,
640,000640.npy,16.871,1095
641,000641.npy,19.231,
642,000642.npy,19.650,
643,000643.npy,18.198,
644,000644.npy,18.419,
645,000645.npy,18.329,
646,000646.npy,18.363,
647,000647.npy,18.432,
648,000648.npy,17.407,
649,000649.npy,16.651,
650,000650.npy,16.288,1095
651,000651.npy,16.241,
652,000652.npy,17.202,
653,000653.npy,16.315,
654,000654.npy,16.385,
655,000655.npy,16.284,
656,000656.npy,16.253,
657,000657.npy,16.207,
658,000658.npy,16.162,
659,000659.npy,20.153,
660,000660.npy,18.594,1095
661,000661.npy,18.653,
662,000662.npy,17.128,
663,000663.npy,19.021,
664,000664.npy,16.278,
665,000665.npy,16.153,
666,000666.npy,16.354,
667,000667.npy,16.282,
668,000668.npy,16.722,
669,000669.npy,16.772,
670,000670.npy,16.453,1050
671,000671.npy,16.513,
672,000672.npy,16.357,
673,000673.npy,16.110,
674,000674.npy,16.530,
675,000675.npy,17.654,
676,000676.npy,20.793,
677,000677.npy,18.990,
678,000678.npy,17.224,
679,000679.npy,17.763,
680,000680.npy,17.364,1050
681,000681.npy,18.998,
682,000682.npy,17.843,
683,000683.npy,18.141,
684,000684.npy,17.250,
685,000685.npy,16.366,
686,000686.npy,16.392,
687,000687.npy,16.300,
688,000688.npy,16.208,
689,000689.npy,16.162,
690,000690.npy,16.319,1080
691,000691.npy,16.345,
692,000692.npy,16.432,
693,000693.npy,19.982,
694,000694.npy,18.906,
695,000695.npy,20.222,
696,000696.npy,18.406,
697,000697.npy,17.420,
698,000698.npy,18.418,
699,000699.npy,16.612,
700,000700.npy,16.431,1080
701,000701.npy,16.555,
702,000702.npy,16.584,
703,000703.npy,16.243,
704,000704.npy,16.358,
705,000705.npy,16.329,
706,000706.npy,16.483,
707,000707.npy,16.437,
708,000708.npy,16.285,
709,000709.npy,18.437,
710,000710.npy,18.705,1080
711,000711.npy,17.183,
712,000712.npy,16.099,
713,000713.npy,16.454,
714,000714.npy,16.518,
715,000715.npy,17.547,
716,000716.npy,17.409,
717,000717.npy,16.026,
718,000718.npy,16.233,
719,000719.npy,16.397,
720,000720.npy,16.271,1110
721,000721.npy,16.244,
722,000722.npy,16.053,
723,000723.npy,16.296,
724,000724.npy,16.086,
725,000725.npy,18.534,
726,000726.npy,17.652,
727,000727.npy,18.281,
728,000728.npy,17.785,
729,000729.npy,17.954,
730,000730.npy,18.070,1110
731,000731.npy,16.398,
732,000732.npy,15.942,
733,000733.npy,16.342,
734,000734.npy,16.711,
735,000735.npy,16.177,
736,000736.npy,16.110,
737,000737.npy,16.404,
738,000738.npy,18.835,
739,000739.npy,18.544,
740,000740.npy,18.860,1110
741,000741.npy,17.188,
742,000742.npy,17.844,
743,000743.npy,17.805,
744,000744.npy,18.793,
745,000745.npy,18.173,
746,000746.npy,17.939,
747,000747.npy,18.528,
748,000748.npy,16.423,
749,000749.npy,16.377,
750,000750.npy,15.658,1110
751,000751.npy,16.128,
752,000752.npy,15.922,
753,000753.npy,16.090,
754,000754.npy,16.128,
755,000755.npy,18.485,
756,000756.npy,18.167,
757,000757.npy,18.555,
758,000758.npy,16.634,
759,000759.npy,16.174,
760,000760.npy,19.170,1110
761,000761.npy,18.021,
762,000762.npy,17.313,
763,000763.npy,17.575,
764,000764.npy,16.791,
765,000765.npy,16.465,
766,000766.npy,16.618,
767,000767.npy,17.231,
768,000768.npy,16.584,
769,000769.npy,16.356,
770,000770.npy,16.851,1110
771,000771.npy,17.167,
772,000772.npy,17.944,
773,000773.npy,16.067,
774,000774.npy,16.386,
775,000775.npy,16.530,
776,000776.npy,16.319,
777,000777.npy,20.641,
778,000778.npy,20.290,
779,000779.npy,18.528,
780,000780.npy,17.626,1080
781,000781.npy,16.283,
782,000782.npy,15.911,
783,000783.npy,16.296,
784,000784.npy,16.618,
785,000785.npy,16.218,
786,000786.npy,18.472,
787,000787.npy,17.413,
788,000788.npy,18.636,
789,000789.npy,16.372,
790,000790.npy,15.866,1080
791,000791.npy,16.062,
792,000792.npy,16.902,
793,000793.npy,18.576,
794,000794.npy,17.777,
795,000795.npy,18.086,
796,000796.npy,18.257,
797,000797.npy,16.550,
798,000798.npy,16.367,
799,000799.npy,16.228,
